"Pics","PicCount","MLS#","County/Incorporated City","Status","Class","PropType","Address","City","Acres #","DOM","List Ofc 1 - OfcCode","List Date","List Price","Closed Date","# Baths","# Beds","Total SQ. FT."
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/632914/0/120/90/1108f8b741a6f1758914683124eb55dc/3/7a259b0d0c385ddbd3148bc72be97a30/632914.JPG","11","632914","005","SLD","RE","DETCH","1601 MONTICELLO RD","CHARLOTTESVILLE","0.15","6","K10844","7/20/2022","$159,000","9/12/2022","1.00","2","616"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/631392/0/120/90/7bf816ea466cb7a8be19aab339e19b54/3/379180d93ff4f8b3028dcbc4580ef90a/631392.JPG","15","631392","005","SLD","RE","DETCH","304 PALATINE AVE","CHARLOTTESVILLE","0.12","83","K24307","6/8/2022","$259,000","9/20/2022","1.00","2","638"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/634172/0/120/90/edec700e25bdcf358f3eb14ce6f1085a/3/e604a7d75efa35f2b1d6be153b2dc45d/634172.JPG","20","634172","001","SLD","RE","DETCH","1949 SWEET HOLLOW LN","CHARLOTTESVILLE","2.37","7","K1142","8/28/2022","$235,000","10/21/2022","2.00","4","1,897"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/631554/0/120/90/45e2dbebee3eece8bcd60d043072c8a6/3/8e4190a921a119774d4f329bcb234318/631554.JPG","24","631554","001","SLD","RE","DETCH","4694 WATTS PASSAGE","CHARLOTTESVILLE","0.76","34","K68","6/12/2022","$269,900","9/9/2022","1.00","3","960"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/632918/0/120/90/185f84124caa6d1e6a5a6d22b4b976a1/3/fd40d6819d7971fadd79b0a307c44869/632918.JPG","9","632918","005","SLD","RE","DETCH","1607 MONTICELLO RD","CHARLOTTESVILLE","0.31","6","K10844","7/20/2022","$259,000","9/12/2022","1.00","2","896"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/632811/0/120/90/6fd0fe070f8caa11f1da8e49d10a82a9/3/29f5274701008d4166970c89f8b25ea9/632811.JPG","6","632811","005","SLD","RE","DETCH","1309 EARLY ST","CHARLOTTESVILLE","0.18","24","K10336","7/17/2022","$279,000","9/9/2022","1.00","2","576"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/633377/0/120/90/4bea825665035dbb586c8f8e209a2380/3/2bdbfeceef4c496fe633a6e042061bb3/633377.JPG","34","633377","005","SLD","RE","DETCH","922 MONTICELLO AVE","CHARLOTTESVILLE","0.12","7","K1142","8/4/2022","$275,000","9/20/2022","2.00","2","1,392"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/636018/0/120/90/dc277035521def4c4f6986eaafd77a91/3/9b73384bc732ca047835b4547c38c0eb/636018.JPG","34","636018","005","SLD","RE","DETCH","2308 CENTER AVE","CHARLOTTESVILLE","0.23","3","K10844","10/25/2022","$285,000","11/18/2022","2.00","2","2,325"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/631483/0/120/90/f0e27a848e378ea9d23d36ee65054d55/3/e504732f6dfdea50ffa69acaec2683ba/631483.JPG","46","631483","001","SLD","RE","DETCH","1107 DRY BRIDGE RD","CHARLOTTESVILLE","1.54","106","K454","6/9/2022","$299,000","10/27/2022","1.00","3","2,428"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/632417/0/120/90/f97fd3d29b7ccdd319b8cea717cb277d/3/e4e915c144937f93055fa9dd18d5488d/632417.JPG","48","632417","005","SLD","RE","DETCH","1513 CHERRY AVE","CHARLOTTESVILLE","0.30","71","K10582","7/6/2022","$324,900","10/26/2022","1.00","2","851"
